"Date","Close_USD_60kg","Is_Weekend","Is_Interpolated"
2000-01-03,154.102705,FALSE,FALSE
2000-01-04,153.7720125,FALSE,FALSE
2000-01-05,156.880519981613,FALSE,FALSE
2000-01-06,154.565672481613,FALSE,FALSE
2000-01-07,150.994197518387,FALSE,FALSE
2000-01-08,150.994197518387,TRUE,TRUE
2000-01-09,150.994197518387,TRUE,TRUE
2000-01-10,155.491617536774,FALSE,FALSE
2000-01-11,155.822310036774,FALSE,FALSE
2000-01-12,157.343487463226,FALSE,FALSE
2000-01-13,156.814387536774,FALSE,FALSE
2000-01-14,148.877767536774,FALSE,FALSE
2000-01-15,148.877767536774,TRUE,TRUE
2000-01-16,148.877767536774,TRUE,TRUE
2000-01-17,148.877767536774,FALSE,TRUE
2000-01-18,153.1106275,FALSE,FALSE
2000-01-19,154.367254963226,FALSE,FALSE
2000-01-20,148.15024,FALSE,FALSE
2000-01-21,147.092019963226,FALSE,FALSE
2000-01-22,147.092019963226,TRUE,TRUE
2000-01-23,147.092019963226,TRUE,TRUE
2000-01-24,148.017965018387,FALSE,FALSE
2000-01-25,149.274592481613,FALSE,FALSE
2000-01-26,152.316967518387,FALSE,FALSE
2000-01-27,151.589439981613,FALSE,FALSE
2000-01-28,151.721714963226,FALSE,FALSE
2000-01-29,151.721714963226,TRUE,TRUE
2000-01-30,151.721714963226,TRUE,TRUE
2000-01-31,146.959744981613,FALSE,FALSE
2000-02-01,147.687272518387,FALSE,FALSE
2000-02-02,148.4809325,FALSE,FALSE
2000-02-03,149.406867463226,FALSE,FALSE
2000-02-04,149.340735018387,FALSE,FALSE
2000-02-05,149.340735018387,TRUE,TRUE
2000-02-06,149.340735018387,TRUE,TRUE
2000-02-07,147.753404963226,FALSE,FALSE
2000-02-08,143.586687536774,FALSE,FALSE
2000-02-09,142.462324963226,FALSE,FALSE
2000-02-10,143.8512375,FALSE,FALSE
2000-02-11,143.917380036774,FALSE,FALSE
2000-02-12,143.917380036774,TRUE,TRUE
2000-02-13,143.917380036774,TRUE,TRUE
2000-02-14,138.89085,FALSE,FALSE
2000-02-15,139.949070036774,FALSE,FALSE
2000-02-16,138.824707463226,FALSE,FALSE
2000-02-17,139.353817481613,FALSE,FALSE
2000-02-18,137.964915036774,FALSE,FALSE
